Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,POSQ01,POSQ02,POSQ03,POSQ04,POSQ05,POSQ06,POSQ07,POSQ08,POSQ09,POSQ10,STALQ01,STALQ02,STALQ03,STALQ04,STALQ05,STALQ06,STALQ07,STALQ08,STALQ09,STALQ10,TUCKQ01,TUCKQ02,TUCKQ03,TUCKQ04,TUCKQ05,TUCKQ06,TUCKQ07,TUCKQ08,TUCKQ09,TUCKQ10,COLEQ01,COLEQ02,COLEQ03,COLEQ04,COLEQ05,COLEQ06,COLEQ07,COLEQ08,COLEQ09,COLEQ10,ATTN,BURDQ01,BURDQ02,BURDQ03,BURDQ04,BURDQ05,BURDQ06,BURDQ07,BURDQ08,BURDQ09,BURDQ10,RESILQ01,RESILQ02,RESILQ03,RESILQ04,RESILQ05,RESILQ06,RESILQ07,RESILQ08,RESILQ09,RESILQ10,JSATQ01,JSATQ02,JSATQ03,JSATQ04,JSATQ05,JSATQ06,JSATQ07,JSATQ08,JSATQ09,JSATQ10,BIASQ01,BIASQ02,BIASQ03,BIASQ04,BIASQ05,BIASQ06,BIASQ07,BIASQ08,BIASQ09,BIASQ10,RUSSQ01,RUSSQ02,RUSSQ03,RUSSQ04,RUSSQ05,RUSSQ06,RUSSQ07,RUSSQ08,RUSSQ09,RUSSQ10,TURNQ01,TURNQ02,TURNQ03,TURNQ04,TURNQ05,TURNQ06,LEADQ01,LEADQ02,LEADQ03,LEADQ04,LEADQ05,LEADQ06,LEADQ07,LEADQ08,LEADQ09,LEADQ10,MOTIVQ01,MOTIVQ02,MOTIVQ03,MOTIVQ04,MOTIVQ05,MOTIVQ06,MOTIVQ07,MOTIVQ08,MOTIVQ09,MOTIVQ10
100,590,1,6/16/2025 21:07,R_5wiSM2rbJDNLMOZ,7,6,6,6,6,6,6,6,5,7,5,3,4,4,4,4,4,4,4,4,2,2,2,3,3,3,4,4,2,3,5,4,3,3,2,4,3,3,1,3,5,5,4,4,5,4,5,4,5,4,5,2,1,4,2,1,1,5,4,4,4,5,3,4,4,4,4,5,5,4,4,1,7,1,6,2,7,1,7,1,1,4,4,5,5,5,5,5,4,5,5,1,4,1,1,1,1,4,4,4,4,3,3,4,4,3,3,5,5,4,4,5,5,5,5,5,5
100,1890,1,6/17/2025 8:50,R_6ieQRaSfRaeKglz,2,3,2,2,2,2,2,1,5,2,5,2,4,4,4,4,5,4,4,4,2,1,1,4,4,1,2,3,4,5,5,5,2,3,2,5,1,5,2,3,5,5,4,4,4,4,5,4,5,4,5,2,2,5,3,2,1,3,5,3,5,4,2,4,4,4,4,5,4,4,5,2,6,2,6,2,6,2,6,2,2,4,3,5,5,5,5,5,5,5,5,1,4,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
100,68631,1,6/17/2025 9:26,R_1JsyvuGMzlTqail,6,5,6,6,5,6,5,6,6,6,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,2,4,3,2,2,2,2,2,2,1,2,3,2,2,5,4,4,4,3,4,4,4,4,4,4,2,2,3,3,3,2,4,5,4,4,5,3,4,4,5,4,5,5,5,5,3,3,5,5,3,4,2,5,3,2,4,4,4,4,4,4,5,4,4,4,1,5,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100,2234,1,6/17/2025 18:08,R_5pWighMGMQmvncR,6,4,3,4,4,3,6,5,6,4,5,4,4,4,5,4,5,4,2,3,2,2,3,5,4,2,4,4,4,3,2,1,2,2,3,3,5,5,2,2,5,5,3,3,4,3,4,3,3,3,4,3,2,3,3,2,2,4,4,4,4,4,4,4,3,5,4,5,5,3,5,5,5,3,5,3,5,3,5,3,3,4,3,3,5,4,4,5,3,4,4,2,4,2,2,2,2,4,4,4,4,4,4,4,5,4,5,4,4,3,3,5,4,4,4,5,3
100,984,1,6/18/2025 10:26,R_3qerFhpice0bpLC,3,5,5,5,5,6,3,2,3,5,5,4,3,5,5,4,4,4,3,4,4,5,2,5,2,4,4,4,1,1,4,2,2,2,3,4,5,1,2,2,5,4,4,3,5,4,4,3,4,3,4,2,1,1,3,2,2,3,3,4,5,4,5,2,4,4,4,2,5,4,4,5,3,5,3,5,4,2,5,4,5,3,4,4,4,4,5,5,4,4,4,2,4,2,2,1,1,2,2,4,4,2,3,2,2,3,3,4,4,4,5,4,4,4,3,4,3
100,488,1,6/18/2025 20:43,R_6qCUXEcFWvtNtYJ,5,1,5,2,2,2,5,5,5,3,3,4,2,5,4,5,4,5,4,4,2,2,4,4,5,4,5,5,3,2,6,5,6,7,6,7,6,6,5,5,5,4,3,4,4,4,4,4,4,3,5,2,3,4,4,2,2,2,3,3,3,5,2,5,2,5,4,5,4,4,4,1,6,1,3,1,7,1,5,1,1,4,4,4,5,5,5,5,4,5,4,4,4,5,5,5,5,4,4,4,2,3,2,2,3,5,5,5,4,2,5,4,5,5,4,5,3
100,567,1,6/18/2025 21:00,R_11nbqddPddSqCNG,7,7,7,6,7,7,6,7,7,7,5,4,4,5,4,5,5,5,4,4,4,1,2,5,4,2,2,5,2,4,5,5,1,5,5,6,3,3,1,2,5,4,4,4,5,5,5,4,5,4,5,2,2,4,1,2,2,3,4,2,4,5,3,5,5,3,4,5,5,5,4,1,7,1,6,1,7,1,7,1,1,5,4,4,5,5,5,5,5,5,5,2,5,1,1,1,1,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5
100,547,1,6/18/2025 21:10,R_7fALUyd6LO7KvVQ,6,5,6,7,5,6,6,3,5,6,4,5,4,5,5,4,5,5,5,5,3,2,1,4,2,4,4,4,2,4,5,6,5,3,3,7,5,4,5,5,5,2,2,3,2,3,3,3,2,3,4,4,2,3,3,3,3,2,5,3,4,5,4,1,5,5,5,5,5,4,5,1,7,2,7,1,7,1,7,2,1,3,1,2,1,3,1,4,4,3,4,3,5,4,2,3,4,5,5,4,4,5,5,5,4,4,5,3,3,1,4,4,4,5,5,5,4
100,590,1,6/18/2025 21:27,R_7gneVEXtmJIVRK9,6,5,4,5,5,6,6,6,5,6,4,4,4,4,4,3,4,4,5,4,2,2,2,2,2,1,2,4,3,3,2,2,3,3,2,5,2,2,2,5,5,4,3,3,3,3,4,3,4,3,3,3,1,3,4,4,3,3,5,3,4,5,4,3,3,4,2,4,4,4,3,3,6,2,3,4,5,1,4,4,4,2,2,4,4,3,2,4,3,4,3,2,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,3,4,3,4,4,4
100,518,1,6/18/2025 21:32,R_3JzbbZQNPS315PW,6,6,7,6,7,6,5,6,6,6,5,5,4,5,5,5,5,5,4,3,4,4,4,5,5,3,2,4,4,4,5,5,2,6,5,6,6,2,5,5,5,4,3,4,5,3,5,4,5,4,4,2,3,3,3,2,3,3,2,3,3,4,3,2,4,4,4,4,4,4,4,1,6,1,6,1,4,1,6,1,2,4,4,5,4,4,4,5,4,5,4,2,3,5,2,1,4,4,4,3,4,3,3,4,4,3,5,3,4,4,4,4,4,5,4,4,4
100,941,1,6/18/2025 21:35,R_1fj0dbtypUk8TLj,6,5,4,2,6,6,5,2,6,3,5,2,3,5,5,5,5,5,5,4,1,1,1,5,3,1,1,5,1,4,2,2,1,2,3,3,2,3,1,4,5,5,4,5,5,5,3,4,5,5,4,1,1,3,1,1,1,3,4,3,3,5,4,3,3,3,4,5,4,5,5,1,7,1,6,1,7,1,7,1,1,5,4,5,5,5,4,5,5,5,5,1,5,1,1,1,1,4,4,4,4,3,3,4,3,4,5,4,5,4,5,5,5,5,5,5,5
100,1484,1,6/18/2025 21:52,R_5F5Osijncl3PsNn,2,2,2,2,2,2,2,5,4,2,5,2,4,5,5,4,5,5,4,4,2,1,3,5,1,1,2,4,1,1,2,2,5,3,2,5,5,2,3,4,5,4,4,4,5,4,5,3,5,4,3,2,2,3,3,3,3,3,4,3,4,5,1,3,2,4,1,3,3,1,4,5,7,5,6,5,3,1,3,5,5,4,2,5,5,3,4,5,3,5,4,5,2,5,5,5,5,5,5,5,5,5,3,3,5,5,4,3,4,4,5,4,5,5,5,4,5
100,1165,1,6/18/2025 21:56,R_34OA407cCTP5RHV,6,3,5,5,3,3,6,5,6,1,5,4,5,5,4,3,5,5,4,4,3,1,4,4,1,2,3,4,3,3,2,2,3,4,2,3,2,2,2,2,5,1,3,3,4,4,1,4,4,1,1,2,2,3,3,2,2,2,3,2,4,4,4,1,3,2,4,4,5,4,4,4,5,1,5,4,5,2,6,2,4,3,3,4,3,2,1,4,4,3,3,3,3,1,4,4,2,1,3,2,4,1,1,3,1,1,3,3,2,3,2,3,3,4,3,4,3
100,467,1,6/18/2025 21:57,R_7c0oICnmvQ6dRex,5,2,5,4,2,2,2,6,2,2,5,2,4,4,5,4,5,3,5,4,2,1,2,4,4,2,3,2,2,3,6,6,5,6,6,5,6,6,5,5,5,4,3,4,4,4,4,4,4,2,3,2,3,5,3,2,2,4,4,3,4,4,1,4,3,4,2,4,4,3,4,4,3,1,3,4,4,1,5,2,5,4,3,4,4,4,4,4,2,3,4,1,4,1,1,1,1,4,3,4,5,4,4,4,3,3,3,3,4,4,4,4,4,5,5,5,4
100,939,1,6/18/2025 22:22,R_6Bj9AIpwfdQmJ0J,6,5,6,5,5,5,6,6,5,5,4,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,3,6,5,4,7,6,5,6,4,4,5,5,3,3,3,3,3,4,2,3,3,3,3,2,2,3,2,2,2,3,3,2,4,3,3,3,4,3,3,4,4,4,2,6,2,6,2,6,2,6,2,2,3,3,4,4,4,3,4,4,4,3,3,3,2,3,3,3,3,2,2,2,3,3,2,2,2,2,4,3,3,4,4,4,3,4,3,3
100,484,1,6/19/2025 0:14,R_51XWoGdclIdEKWA,6,6,6,6,6,6,6,6,5,6,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,5,5,3,3,3,3,3,3,3,3,3,4,2,2,4,3,2,3,3,4,4,3,4,4,4,4,4,4,4,4,4,5,1,6,1,7,1,7,1,6,1,1,4,4,4,4,4,4,4,4,4,3,2,4,1,2,2,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
100,973,1,6/19/2025 7:21,R_1Io626vAdJccqZi,5,2,1,2,2,1,3,6,2,2,4,4,2,4,5,4,4,4,2,4,4,4,5,4,4,2,2,5,4,4,7,6,6,7,6,7,5,7,7,5,5,2,1,1,2,3,1,3,1,1,2,3,2,3,2,3,3,2,3,3,2,2,3,1,2,1,2,2,2,2,4,2,6,2,1,2,6,1,6,1,2,1,1,2,2,2,1,3,4,4,4,5,3,5,4,4,4,3,3,3,3,3,3,2,3,3,3,4,2,1,3,4,2,4,3,4,2
100,675,1,6/19/2025 7:41,R_7fv5Jje90svBIXi,6,5,6,6,5,5,6,7,7,5,4,3,3,5,3,4,4,5,3,5,2,2,2,5,4,2,2,5,3,5,2,2,2,5,4,2,2,3,2,2,3,4,4,4,4,4,4,3,4,4,4,2,3,3,3,2,2,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,5,2,5,4,4,4,4,4,4,4,3,4,4,5,4,3,3,2,2,3,2,4,4,3,4,4,3,4,3,4,5,4,4,4,4,5,4,4,4,4,3
100,750,1,6/19/2025 10:08,R_50OLqHlzP7FxISg,6,4,5,5,5,6,5,6,6,6,4,2,4,4,4,4,4,4,4,4,2,2,2,4,3,2,2,4,4,4,5,5,5,5,3,5,5,5,5,5,5,3,3,4,4,4,4,4,4,3,3,3,2,4,2,2,1,3,4,3,4,4,3,4,3,4,4,4,4,4,4,2,6,2,6,5,6,2,6,2,2,3,2,4,4,4,4,4,4,4,4,3,4,2,2,2,3,3,3,3,2,3,3,2,2,4,3,4,4,4,4,4,4,4,3,4,4
100,571,1,6/19/2025 12:36,R_1LLNGMrcLg2Wog9,6,6,7,6,7,7,7,6,7,6,3,4,5,3,3,5,3,4,4,5,4,3,4,3,3,4,4,4,3,2,2,2,2,5,2,5,2,2,3,3,5,3,3,4,3,4,4,3,3,3,4,2,2,3,3,2,3,4,3,4,5,4,5,2,4,3,3,4,5,3,4,2,6,2,4,1,7,2,5,2,3,2,3,2,4,4,4,4,3,4,4,2,2,4,4,2,2,3,2,3,2,3,2,1,3,4,4,4,5,3,4,4,5,5,5,5,5
100,1060,1,6/19/2025 12:59,R_9GTZN0bHtRRfg3A,6,7,7,6,6,7,5,6,5,6,4,3,5,5,4,5,4,5,5,5,2,1,1,5,4,2,1,4,3,4,1,1,2,2,2,5,2,1,1,2,5,4,2,4,4,3,4,3,5,3,3,2,1,1,2,2,2,4,5,5,5,4,3,5,4,5,4,5,5,5,4,1,7,1,7,1,7,1,7,1,1,2,1,4,4,4,4,4,4,3,3,2,4,3,2,1,1,4,4,4,4,5,4,2,3,3,4,4,3,3,3,4,3,5,5,4,4
100,785,1,6/19/2025 14:56,R_1RydjFHp4oYTUU6,6,7,6,6,6,6,4,6,6,6,5,2,5,5,5,4,5,4,5,3,1,1,1,5,1,1,1,5,1,5,2,1,1,2,2,5,1,1,1,4,5,4,4,4,5,4,4,4,4,4,3,2,1,3,1,1,2,3,5,3,4,5,4,4,4,5,4,5,4,5,4,1,1,4,4,6,4,3,5,4,1,4,4,4,5,4,4,5,4,4,4,1,3,4,4,1,1,5,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
100,1632,1,6/19/2025 15:04,R_6uU7KZLA8U337Wg,5,2,4,5,3,5,2,3,3,3,5,3,3,5,5,4,5,4,5,4,2,1,2,4,2,2,2,5,2,3,3,3,2,5,2,5,5,3,3,3,5,4,3,3,4,4,4,4,5,3,4,2,2,4,3,2,2,3,4,3,5,4,2,4,4,4,4,3,5,4,4,2,5,4,5,4,6,2,6,2,3,2,2,4,5,4,4,4,4,4,3,2,4,2,2,2,2,4,4,3,3,2,2,3,4,2,4,4,4,3,3,4,2,5,4,5,4
100,563,1,6/19/2025 15:22,R_7AMTlB84XDtP1OV,5,4,4,5,3,4,5,6,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,2,6,5,6,6,5,6,6,5,5,6,5,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,2,3,4,3,3,3,4,3,3,3,3,4,5,2,4,4,5,3,5,3,3,2,3,2,3,3,3,4,3,3,3,3,3,4,4,3,4,3,3,3,4,3,3,2,3,3,4,3,3,3,3,3,3,4,3,4,4
100,876,1,6/19/2025 15:36,R_1jZDvLyVsAytpF7,2,3,3,5,2,2,2,2,1,5,4,3,5,4,4,5,4,4,5,4,2,2,2,4,2,2,2,4,3,4,3,3,3,3,5,5,3,2,3,5,5,3,3,4,4,4,3,3,2,3,3,4,2,1,2,2,2,3,3,4,4,2,2,2,2,4,2,4,3,2,3,1,7,1,4,1,6,1,6,1,1,3,2,4,3,3,3,4,4,4,4,4,3,4,3,2,5,3,4,3,3,3,2,3,3,3,4,4,4,4,4,5,4,5,5,5,4
100,629,1,6/19/2025 17:08,R_1JaXLrZXlCUCnpP,6,6,6,6,6,6,6,4,6,6,4,5,4,4,4,4,4,4,4,3,4,1,3,5,4,1,5,4,3,3,2,2,2,2,4,2,2,4,2,2,5,3,4,3,4,4,4,4,4,4,4,2,2,3,4,2,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,6,6,2,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,2,4,2,3,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
100,358,1,6/19/2025 23:08,R_1fuCajRe1n7IMNp,7,7,7,7,7,7,7,7,7,7,5,5,4,5,5,4,5,5,5,5,5,5,4,3,3,5,5,3,3,2,7,7,7,7,7,7,7,7,4,7,5,5,4,5,5,4,2,4,3,4,5,3,5,4,4,3,4,4,3,3,2,5,4,4,5,5,3,5,5,5,5,4,4,1,4,6,4,1,4,6,5,4,4,5,3,5,3,5,3,5,4,1,5,1,1,1,1,3,3,3,3,3,3,3,4,4,4,3,5,5,5,3,5,5,5,5,5
100,625,1,6/20/2025 10:10,R_55ADcRTHuPZUqD8,6,6,6,6,7,7,6,7,5,6,5,4,3,5,4,5,4,4,5,5,4,2,2,4,4,3,4,4,4,2,2,2,3,3,2,5,5,2,2,2,5,5,4,4,5,4,4,4,4,4,4,3,2,3,2,3,4,4,4,5,3,5,3,5,5,5,5,5,5,5,5,1,6,1,6,2,7,1,7,1,5,4,3,4,4,4,4,5,4,4,4,2,5,1,1,1,2,3,4,2,3,2,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5
100,614,1,6/20/2025 14:05,R_3C7TEd8w0gskayn,5,6,6,4,6,6,4,4,5,5,4,3,4,4,5,4,5,4,5,3,2,2,2,5,3,3,2,3,4,4,3,6,3,5,3,5,5,6,6,3,5,4,2,4,4,4,4,3,3,2,3,3,2,3,1,2,3,2,3,3,4,4,1,2,3,4,5,4,5,3,4,4,4,7,5,4,7,5,5,7,3,3,3,4,4,3,4,4,3,4,4,1,5,4,1,1,2,4,3,4,5,3,3,2,3,3,4,3,3,2,2,4,2,3,4,4,4
100,1110,1,6/20/2025 15:49,R_5m7M1AdRqZ612jT,6,5,6,5,5,3,6,5,5,5,4,2,4,4,4,4,4,5,4,4,2,1,2,4,2,2,2,4,2,3,2,5,2,3,2,2,2,6,2,1,5,4,5,5,5,5,5,5,5,4,5,1,1,4,1,1,2,3,5,4,5,5,4,4,4,3,3,4,4,4,4,5,5,5,5,5,4,2,3,5,5,5,4,5,4,5,5,5,4,5,5,1,5,1,2,1,2,5,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
100,1533,1,6/20/2025 16:27,R_3I6JFkEMQihIANn,7,7,7,7,7,7,7,7,7,7,5,4,5,5,5,4,5,5,5,5,4,2,4,5,4,2,2,5,3,1,2,3,2,3,5,5,2,2,1,2,5,5,4,5,5,5,5,4,5,5,5,1,2,5,2,1,2,4,5,4,5,5,5,5,5,4,5,5,5,5,5,1,7,1,7,1,7,1,7,1,1,5,4,5,5,5,5,5,5,5,5,1,5,1,1,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
100,1167,1,6/20/2025 17:04,R_5q7Lzmoyokk0CLP,7,7,7,6,6,6,7,7,6,6,4,4,4,4,4,4,4,5,5,5,4,2,2,3,4,2,3,4,3,2,2,1,2,2,3,1,5,5,1,2,5,5,4,4,4,4,4,4,4,4,4,2,2,4,2,4,3,3,4,3,5,5,4,3,5,5,4,5,4,5,5,2,6,2,6,2,6,2,6,2,2,4,4,4,4,4,4,4,4,4,4,1,1,1,2,1,2,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4
100,814,1,6/22/2025 8:15,R_7msCWq7bhtgigY1,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,3,3,3,2,4,2,2,1,4,2,2,2,2,5,3,3,3,3,3,4,2,3,2,2,2,3,4,3,2,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,2,6,2,5,2,6,2,6,2,2,3,3,4,4,3,4,4,4,3,3,2,4,2,2,2,2,3,3,3,3,3,3,2,3,3,4,4,4,4,3,4,4,3,3,4,3
100,776,1,6/22/2025 11:34,R_5qutID771kais7v,4,4,5,4,4,4,5,6,5,5,5,4,4,5,4,5,4,4,4,5,3,4,2,4,3,3,3,4,3,3,2,2,2,3,2,1,3,3,2,2,5,4,4,4,5,4,5,4,5,4,5,2,2,4,3,2,3,2,3,3,4,5,5,3,4,5,4,4,4,4,3,6,1,4,2,6,2,7,2,6,6,4,4,4,5,4,5,4,4,5,4,1,4,1,2,2,2,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,4,4,4,5,5
100,1175,1,6/22/2025 18:03,R_3asqfLCZLisJJmN,6,5,5,5,5,6,5,5,5,6,5,4,4,5,4,4,5,4,4,3,4,3,3,5,2,5,4,4,2,1,3,3,3,5,2,5,2,2,3,3,5,2,1,3,2,2,2,2,1,1,3,3,1,2,2,3,2,3,4,4,3,3,3,2,3,3,4,4,4,3,3,1,7,1,5,1,7,1,7,1,1,2,2,4,3,2,2,3,4,3,3,5,2,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,2,2,2,4,2,3,4,4,2
