ResponseID,ANX1,ANX2,ANX3,ANX4,ANX5,ANX6,ANX7,ANX8,ANX9,ANX10,CTRL1,CTRL2,CTRL3,CTRL4,CTRL5,CTRL6,CTRL7,CTRL8,CTRL9,CTRL10
R066,4,4,3,4,4,4,5,2,2,3,3,3,4,4,5,5,5,3,6,4
R067,3,3,6,3,3,6,5,3,4,3,5,3,4,4,3,3,4,4,5,4
R068,4,4,4,5,5,5,5,5,3,5,4,4,4,7,4,3,4,4,4,4
R069,4,3,3,3,2,4,4,3,6,3,4,6,5,4,5,3,3,5,4,2
R070,3,5,4,4,3,3,4,3,4,4,6,3,4,4,6,5,4,2,3,4
R071,5,5,5,4,3,5,4,3,2,4,4,4,6,5,6,4,4,4,5,3
R072,3,6,3,3,4,4,5,4,5,6,2,5,5,5,6,5,3,3,4,5
R073,2,5,3,5,1,4,5,3,4,3,3,4,5,5,4,3,5,4,5,4
R074,5,4,4,3,6,5,5,4,5,2,2,3,2,5,4,4,3,5,4,4
R075,3,4,3,3,5,4,5,3,5,4,4,3,3,5,3,5,5,5,5,4
R076,4,5,3,3,6,3,4,5,4,5,5,2,5,5,4,5,2,4,5,5
R077,3,5,3,4,5,5,3,3,5,6,4,5,4,5,3,6,4,5,5,3
R078,2,6,4,4,5,6,4,5,4,4,4,4,4,4,5,5,4,3,2,5
R079,5,6,4,3,7,7,4,4,3,5,3,5,3,5,4,4,4,4,4,5
R080,3,4,4,5,4,4,4,3,4,3,5,5,4,4,3,4,5,5,6,6
R081,6,4,3,4,3,5,3,5,5,4,4,3,5,5,4,3,4,3,2,6
R082,5,1,5,3,4,6,5,3,4,5,4,3,3,3,3,4,4,4,5,3
R083,4,4,3,5,3,4,5,4,5,5,4,4,3,5,5,4,4,3,5,5
R084,3,3,4,5,4,5,4,4,4,3,4,3,2,5,5,4,5,4,5,5
R085,3,4,3,4,3,4,5,4,6,5,4,4,4,5,4,4,3,4,4,5
R086,3,5,5,4,5,3,5,2,4,2,3,3,2,4,4,5,3,4,5,5
R087,6,5,5,2,5,5,4,3,4,4,5,3,4,5,3,5,2,4,5,4
R088,4,4,3,4,4,3,4,4,4,3,4,4,4,4,5,4,6,3,4,3
R089,5,5,2,4,5,5,6,3,4,4,4,5,6,5,5,3,3,2,3,4
R090,2,4,5,4,4,4,5,5,2,3,3,4,4,3,5,4,2,4,5,5
R091,4,5,6,4,5,5,4,5,3,5,4,5,5,5,4,4,3,4,3,4
R092,5,1,5,4,4,4,5,4,4,5,1,3,4,5,4,5,4,5,4,3
R093,4,4,4,6,4,5,6,4,4,4,3,3,4,5,6,2,5,4,5,3
R094,5,4,5,3,5,5,4,6,3,5,4,4,4,4,4,3,4,2,5,4
R095,3,4,5,3,6,6,5,5,3,5,2,6,4,5,4,3,4,3,4,4
R096,2,4,3,3,6,3,6,5,4,4,6,4,5,3,5,4,2,4,5,4
R097,4,5,4,4,3,5,3,3,3,7,2,3,4,5,5,5,4,4,3,3
R098,3,4,5,5,4,4,4,6,4,4,4,4,4,5,2,2,3,4,4,5
R099,5,7,4,2,2,5,4,5,4,5,5,4,3,5,3,4,4,3,6,2
R100,2,5,5,3,4,6,4,4,5,4,4,3,4,5,4,5,3,6,6,5
